#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,GP
61,A.J. Brown,WR,PHI,22.9,-,-,-,BYE,23.6,19.9,13.4,5.6,15.9,11.5,22.9,11.6,8.3,25,23.7,12.6,-,16.7,216.9,14
62,D'Andre Swift,RB,CHI,5,8.2,6.2,29.5,20,21.9,BYE,18.9,14.2,7.5,16.4,9.5,9.4,5,9.9,8.3,12.1,12.5,12.6,214.5,18
63,Jordan Addison,WR,MIN,6.5,-,-,22.9,6.6,BYE,9.6,4.2,16.1,4.9,15.1,30.2,9.4,39.3,13.3,14.5,18.9,1,14.2,212.5,16
64,Jameson Williams,WR,DET,24.4,14.4,1.2,16,BYE,17.7,0.6,-,-,8.3,22.6,11.8,9.6,13,12.7,26,24.5,9.4,14.1,212.2,16
65,Nico Collins,WR,HOU,17.7,27.5,12.6,33.1,15.8,-,-,-,-,-,9.4,20.2,19.9,BYE,17.7,13,8.9,14.8,17.6,210.6,13
66,Jauan Jennings,WR,SF,11.4,5.7,46.5,11.8,2.3,5.7,-,-,BYE,16.3,25.1,9,8.6,28,5.1,9.1,13.7,12.2,14,210.5,16
67,Zay Flowers,WR,BAL,11.1,22.1,5.3,2,19,22.4,4,18.5,29.7,7.4,11.9,11.2,10.1,BYE,11.3,15.3,5.1,3.1,12.3,209.5,18
68,Puka Nacua,WR,LAR,8.2,-,-,-,-,BYE,-,18.1,2.1,18.8,25.3,20.7,17.3,41.8,17.8,13.6,22.9,-,18.8,206.6,12
69,Najee Harris,RB,LAC,8.9,8.4,13.6,10.3,9.7,20.2,16.2,16.1,-,11.3,13.3,7.4,24.9,11.3,3.1,4.2,10.1,15.6,12,204.6,17
70,Bryce Young,QB,CAR,11.6,3,-,-,3.1,-,-0.2,15.6,10.7,12,BYE,16.5,23.6,13.5,14,27.1,16.9,36.4,14.6,204,15
71,Tony Pollard,RB,TEN,18.4,15.2,5.9,18.8,BYE,17.8,8.5,14.7,18.4,10.3,4.9,21.9,8.8,14.4,8.5,8,-,6.2,12.5,200.7,17
72,Rachaad White,RB,TB,16.6,3.3,8.5,10.4,9.6,-,29.1,15.7,12.5,19,BYE,11.7,8.8,24.9,14.1,11,4.4,0,12.5,199.6,17
73,DeVonta Smith,WR,PHI,15.4,20.6,14.9,-,BYE,15.4,0.8,20.5,18.7,3.4,6.9,-,-,13.7,28,11.1,30,-,15.3,199.4,14
74,Calvin Ridley,WR,TEN,8,24.7,1.9,2.5,BYE,0.9,7.2,22.6,12.3,25.4,9.8,14.3,6.5,12.9,9,16.8,14.1,10.3,11.7,199.2,18
75,Rico Dowdle,RB,CAR,4.2,9.9,8.6,13.1,19.4,10.5,-,-,21.7,8.6,5.4,10.8,21.3,15.1,14.9,8.1,9.8,16.4,12.4,197.8,16
76,Jayden Reed,WR,GB,33.1,6.6,10.9,27.1,13.7,14.8,3,7.5,16.3,BYE,9.8,5.6,19.7,0,11.1,11.1,1.6,5.1,11.6,197,18
77,Marvin Harrison Jr.,WR,ARI,1.4,29,17.4,15.5,5.6,0,5.1,23.1,3.4,16.4,BYE,7.7,17,8.9,5.2,7.9,15.6,17.3,11.6,196.5,18
78,Travis Kelce,TE,KC,6.4,1.6,7,15.9,16,BYE,5.7,25,22,20.4,2.8,12.2,13.8,9.5,6.7,8,22.4,-,12.2,195.4,17
79,Darnell Mooney,WR,ATL,2.5,17.8,14.6,8.6,31.5,6.8,9.6,18.6,19.8,14.6,4.7,BYE,5,20.2,0,13.2,5.7,-,12.1,193.2,17
80,Kirk Cousins,QB,ATL,8.2,17.5,12.1,8.5,35.4,12.5,9.2,28.6,17.8,11.2,5.9,BYE,6.1,11.8,7.5,-,-,-,13.7,192.3,15
81,Brandon Aubrey,K,DAL,21,17,11,11,10,12,BYE,6,9,7,6,12,9,9,16,21,1,14,11.3,192,18
82,J.K. Dobbins,RB,FA,22.9,20.1,8.4,9.2,-,18.2,9.6,16.8,24.5,8.5,18.9,8.9,-,-,-,-,15.3,10.5,14.8,191.8,13
83,DK Metcalf,WR,PIT,5.9,28.9,20.4,15.4,7.5,7.8,19.9,-,BYE,-,14,9.9,10.6,8.9,5.8,14.7,7.2,14.3,12.7,191.2,16
84,Chris Boswell,K,PIT,26,9,8,8,6,17,14,14,BYE,4,24,8,16,11,8,7,4,7,11.2,191,18
85,Mark Andrews,TE,BAL,3.4,9.1,0,0,9.5,15.6,20.1,14.6,4.6,18.8,4.2,15.6,18.9,BYE,10.4,13.8,14.8,15.4,11.1,188.8,18
86,Tua Tagovailoa,QB,MIA,18.6,8.5,-,-,-,BYE,-,14.7,17.5,9.2,23.5,28.5,25.2,23.5,6.8,12.5,-,-,17.1,188.6,12
87,Xavier Worthy,WR,KC,20.8,4.2,5,16.3,11.8,BYE,5.4,13.7,-1,2.1,16.8,9.1,10.4,9.6,19.6,20.5,22.9,0,11,187.2,18
88,Drake Maye,QB,NE,-,-,2.1,-,0,21.5,20.8,11.5,17.7,12.8,19,14.5,20.4,BYE,18.5,18.4,9.9,0,13.4,187.1,15
89,Zach Charbonnet,RB,SEA,12.1,17.9,25.7,10.4,6,4.5,1.9,11.4,5.3,BYE,2.5,2.2,12.1,38.3,13.6,3.3,10.6,9.1,11,186.9,18
90,Keenan Allen,WR,FA,6.9,-,-,4.9,6.3,21.1,-,5.9,7.6,9.4,8.1,23.6,24.3,6,20.2,29.1,7.5,4.5,12.4,185.4,15
91,Josh Downs,WR,IND,-,-,5.2,22.2,15.9,19.5,1.3,22.2,12,14.2,19.4,5.7,-,BYE,6.2,15.1,5.2,19.4,13.1,183.5,15
92,Wan'Dale Robinson,WR,NYG,11.8,9.8,13.1,18.1,16,10,8.3,8,4,10.1,BYE,9.7,2.6,7.8,7.8,13.2,18.1,14.3,10.7,182.7,18
93,Khalil Shakir,WR,BUF,13.2,10.6,19.2,10.2,-,3.9,13.5,19.9,11,11.8,15,BYE,7,21.6,15.9,4.2,5.5,-,12.2,182.5,16
94,Tyrone Tracy Jr.,RB,NYG,1.7,0.2,6,3.1,14,22.7,6.2,23,7.9,15.4,BYE,9,14.5,19.3,4.5,16.9,9.3,8.6,10.7,182.3,18
95,Kenneth Walker III,RB,SEA,18.9,-,-,33.6,14.6,20.9,23.3,8.5,13.7,BYE,13.9,13.3,6.6,-,-,13.9,-,-,16.5,181.2,12
96,Cameron Dicker,K,LAC,12,10,4,6,BYE,12,21,9,3,9,12,16,12,5,6,10,17,15,10.5,179,18
97,Russell Wilson,QB,NYG,-,-,-,-,-,-,24.9,13.8,-,19.1,7.3,13.8,27.9,16,8.4,16.4,18.7,11.5,16.2,177.8,11
98,Zach Ertz,TE,WAS,5.8,10.2,8.8,7.2,3,10.8,14,14.7,1.5,7.1,18.7,15.8,12.5,BYE,4.5,2.2,25.2,15.4,10.4,177.4,18
